2026-04-28 06:45:12,152 [INFO] ============================================================
2026-04-28 06:45:12,153 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 06:45:12,176 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 06:45:12,176 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 06:45:12,176 [INFO] ============================================================
2026-04-28 06:49:56,508 [INFO] ============================================================
2026-04-28 06:49:56,509 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 06:49:56,635 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 06:49:56,635 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 06:49:56,686 [INFO] ============================================================
2026-04-28 11:08:49,616 [INFO] ============================================================
2026-04-28 11:08:49,635 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:08:49,636 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:08:49,636 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:08:49,637 [INFO] ============================================================
2026-04-28 11:12:03,280 [INFO] ============================================================
2026-04-28 11:12:03,310 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:12:03,310 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:12:03,310 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:12:03,311 [INFO] ============================================================
2026-04-28 11:17:22,748 [INFO] ============================================================
2026-04-28 11:17:22,749 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:17:22,749 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:17:22,749 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:17:22,750 [INFO] ============================================================
2026-04-28 17:43:39,525 [INFO] [0.2%] Processed:200/85,322 | Valid:200 | Sealed:0 | Errors:0 | DB:11,322
2026-04-28 17:48:12,008 [INFO] [0.5%] Processed:400/85,322 | Valid:400 | Sealed:0 | Errors:0 | DB:11,522
2026-04-28 17:51:23,449 [INFO] [0.6%] Processed:550/85,322 | Valid:550 | Sealed:0 | Errors:0 | DB:11,672
2026-04-28 17:52:30,541 [INFO] [0.7%] Processed:600/85,322 | Valid:600 | Sealed:0 | Errors:0 | DB:11,722
2026-04-28 17:56:50,699 [INFO] [0.9%] Processed:800/85,322 | Valid:800 | Sealed:0 | Errors:0 | DB:11,922
2026-04-28 18:01:27,333 [INFO] [1.2%] Processed:1,000/85,322 | Valid:1,000 | Sealed:0 | Errors:0 | DB:12,122
2026-04-28 18:02:32,368 [INFO] [1.2%] Processed:1,050/85,322 | Valid:1,050 | Sealed:0 | Errors:0 | DB:12,172
2026-04-28 18:06:13,746 [INFO] [1.4%] Processed:1,200/85,322 | Valid:1,200 | Sealed:0 | Errors:0 | DB:12,322
2026-04-28 18:10:54,586 [INFO] [1.6%] Processed:1,400/85,322 | Valid:1,400 | Sealed:0 | Errors:0 | DB:12,522
2026-04-28 18:14:11,922 [INFO] [1.8%] Processed:1,550/85,322 | Valid:1,550 | Sealed:0 | Errors:0 | DB:12,672
2026-04-28 18:15:31,102 [INFO] [1.9%] Processed:1,600/85,322 | Valid:1,600 | Sealed:0 | Errors:0 | DB:12,722
2026-04-28 18:20:21,175 [INFO] [2.1%] Processed:1,800/85,322 | Valid:1,800 | Sealed:0 | Errors:0 | DB:12,922
2026-04-28 18:25:06,304 [INFO] [2.3%] Processed:2,000/85,322 | Valid:2,000 | Sealed:0 | Errors:0 | DB:13,122
2026-04-28 18:26:14,010 [INFO] [2.4%] Processed:2,050/85,322 | Valid:2,050 | Sealed:0 | Errors:0 | DB:13,172
2026-04-28 18:29:58,137 [INFO] [2.6%] Processed:2,200/85,322 | Valid:2,200 | Sealed:0 | Errors:0 | DB:13,322
2026-04-28 18:35:02,294 [INFO] [2.8%] Processed:2,400/85,322 | Valid:2,400 | Sealed:0 | Errors:0 | DB:13,522
2026-04-28 18:38:45,195 [INFO] [3.0%] Processed:2,550/85,322 | Valid:2,550 | Sealed:0 | Errors:0 | DB:13,672
2026-04-28 18:40:10,294 [INFO] [3.0%] Processed:2,600/85,322 | Valid:2,600 | Sealed:0 | Errors:0 | DB:13,722
2026-04-28 18:45:15,749 [INFO] [3.3%] Processed:2,800/85,322 | Valid:2,800 | Sealed:0 | Errors:0 | DB:13,922
2026-04-28 18:50:18,568 [INFO] [3.5%] Processed:3,000/85,322 | Valid:3,000 | Sealed:0 | Errors:0 | DB:14,122
2026-04-28 18:51:26,593 [INFO] [3.6%] Processed:3,050/85,322 | Valid:3,050 | Sealed:0 | Errors:0 | DB:14,172
2026-04-28 18:55:01,510 [INFO] [3.8%] Processed:3,200/85,322 | Valid:3,200 | Sealed:0 | Errors:0 | DB:14,322
2026-04-28 19:00:19,491 [INFO] [4.0%] Processed:3,400/85,322 | Valid:3,400 | Sealed:0 | Errors:0 | DB:14,522
2026-04-28 19:04:19,199 [INFO] [4.2%] Processed:3,550/85,322 | Valid:3,550 | Sealed:0 | Errors:0 | DB:14,672
2026-04-28 19:05:34,494 [INFO] [4.2%] Processed:3,600/85,322 | Valid:3,600 | Sealed:0 | Errors:0 | DB:14,722
2026-04-28 19:10:40,525 [INFO] [4.5%] Processed:3,800/85,322 | Valid:3,800 | Sealed:0 | Errors:0 | DB:14,922
2026-04-28 19:15:58,055 [INFO] [4.7%] Processed:4,000/85,322 | Valid:4,000 | Sealed:0 | Errors:0 | DB:15,122
2026-04-28 19:17:12,743 [INFO] [4.7%] Processed:4,050/85,322 | Valid:4,050 | Sealed:0 | Errors:0 | DB:15,172
2026-04-28 19:20:36,903 [INFO] [4.9%] Processed:4,200/85,322 | Valid:4,200 | Sealed:0 | Errors:0 | DB:15,322
2026-04-28 19:25:15,135 [INFO] [5.2%] Processed:4,400/85,322 | Valid:4,400 | Sealed:0 | Errors:0 | DB:15,522
2026-04-28 19:28:43,547 [INFO] [5.3%] Processed:4,550/85,322 | Valid:4,550 | Sealed:0 | Errors:0 | DB:15,672
2026-04-28 19:29:48,737 [INFO] [5.4%] Processed:4,600/85,322 | Valid:4,600 | Sealed:0 | Errors:0 | DB:15,722
2026-04-28 19:34:30,067 [INFO] [5.6%] Processed:4,800/85,322 | Valid:4,800 | Sealed:0 | Errors:0 | DB:15,922
2026-04-28 19:39:05,728 [INFO] [5.9%] Processed:5,000/85,322 | Valid:5,000 | Sealed:0 | Errors:0 | DB:16,122
2026-04-28 19:40:21,838 [INFO] [5.9%] Processed:5,050/85,322 | Valid:5,050 | Sealed:0 | Errors:0 | DB:16,172
2026-04-28 19:43:41,930 [INFO] [6.1%] Processed:5,200/85,322 | Valid:5,200 | Sealed:0 | Errors:0 | DB:16,322
2026-04-28 19:48:39,353 [INFO] [6.3%] Processed:5,400/85,322 | Valid:5,400 | Sealed:0 | Errors:0 | DB:16,522
2026-04-28 19:52:38,958 [INFO] [6.5%] Processed:5,550/85,322 | Valid:5,550 | Sealed:0 | Errors:0 | DB:16,672
2026-04-28 19:53:51,320 [INFO] [6.6%] Processed:5,600/85,322 | Valid:5,600 | Sealed:0 | Errors:0 | DB:16,722
2026-04-28 19:58:50,696 [INFO] [6.8%] Processed:5,800/85,322 | Valid:5,800 | Sealed:0 | Errors:0 | DB:16,922
2026-04-28 20:03:44,986 [INFO] [7.0%] Processed:6,000/85,322 | Valid:6,000 | Sealed:0 | Errors:0 | DB:17,122
2026-04-28 20:05:05,129 [INFO] [7.1%] Processed:6,050/85,322 | Valid:6,050 | Sealed:0 | Errors:0 | DB:17,172
2026-04-28 20:08:49,689 [INFO] [7.3%] Processed:6,200/85,322 | Valid:6,200 | Sealed:0 | Errors:0 | DB:17,322
2026-04-28 20:13:39,017 [INFO] [7.5%] Processed:6,400/85,322 | Valid:6,400 | Sealed:0 | Errors:0 | DB:17,522
2026-04-28 20:17:43,083 [INFO] [7.7%] Processed:6,550/85,322 | Valid:6,550 | Sealed:0 | Errors:0 | DB:17,672
2026-04-28 20:19:10,519 [INFO] [7.7%] Processed:6,600/85,322 | Valid:6,600 | Sealed:0 | Errors:0 | DB:17,722
2026-04-28 20:24:16,845 [INFO] [8.0%] Processed:6,800/85,322 | Valid:6,800 | Sealed:0 | Errors:0 | DB:17,922
2026-04-28 20:29:09,965 [INFO] [8.2%] Processed:7,000/85,322 | Valid:7,000 | Sealed:0 | Errors:0 | DB:18,122
2026-04-28 20:30:31,328 [INFO] [8.3%] Processed:7,050/85,322 | Valid:7,050 | Sealed:0 | Errors:0 | DB:18,172
2026-04-28 20:33:59,655 [INFO] [8.4%] Processed:7,200/85,322 | Valid:7,200 | Sealed:0 | Errors:0 | DB:18,322
